ROUTE_SORT_ORDER,RIDERSHIP_AVERAGE,YTD_TOTAL_RIDERSHIP_COUNT,QTD_TOTAL_RIDERSHIP_COUNT,PY_QTD_TOTAL_RIDERSHIP_COUNT,PY_YTD_TOTAL_RIDERSHIP_COUNT,PY_RIDERSHIP_AVERAGE,YEAR_NUM,MONTH_NAME,MONTH_SHORT_NAME,MONTH_END_DATE,MONTH_YEAR,DAY_TYPE,MODE_NAME,SUB_MODE,ROUTE_NAME,DATA_AS_OF,SHOW_ON_DASHBOARD,FISCAL_YEAR_NUMBER,FISCAL_MONTH_NUMBER,FISCAL_QUARTER_NUMBER
171,4195.9948,51235.36911,4195.9948,,,,2017,September,09-Sep,20170930,Sep-2017,Weekday,MetroBus,Flyer Routes,171-Oak Hill Flyer,07/31/2021,1,2017,12,4
111,1751.7606,10568.83251,1751.7606,,,,2017,April,04-Apr,20170430,Apr-2017,Weekday,MetroBus,Flyer Routes,111-South Mopac Flyer,07/31/2021,1,2017,7,3
411,927.5,6579.18613,927.5,1439.49995,8343.02069,1439.49995,2018,September,09-Sep,20180930,Sep-2018,Saturday,MetroBus,Special Service Routes,411-E-Bus/Riverside,07/31/2021,1,2018,12,4
127,0,0,0,0,0,0,2018,April,04-Apr,20180430,Apr-2018,Saturday,MetroBus,Flyer Routes,127-Dove Springs Flyer,07/31/2021,1,2018,7,3
410,0,7831.3343,0,3514.5714,14452.45182,0,2020,June,06-Jun,20200630,Jun-20,Weekday,MetroBus,Special Service Routes,410-E-Bus/West Campus,07/31/2021,1,2020,9,3
4,3155.5,11426.49995,11426.49995,,,,2016,December,12-Dec,20161231,Dec-2016,Saturday,MetroBus,Local Routes,4-7th Street,07/31/2021,1,2017,3,1
345,349,4284.24994,349,511.33332,4346.53844,511.33332,2020,April,04-Apr,20200430,Apr-20,Saturday,MetroBus,Crosstown Routes,345-45TH,07/31/2021,1,2020,7,3
324,3480,22721.89148,7641.99995,6997.66664,20187.46658,3297.66664,2020,February,02-Feb,20200229,Feb-20,Sunday,MetroBus,Crosstown Routes,324-Georgian/Ohlen,07/31/2021,1,2020,5,2
486,1575.84195,3594.43281,3594.43281,3886.0633,3886.0633,1745.7776,2019,November,11-Nov,20191130,Nov-2019,Weekday,MetroBus,Special Service Routes,486-Night Owl South Congress,07/31/2021,1,2020,2,1
466,0,0,0,0,0,0,2019,July,07-Jul,20190731,Jul-2019,Saturday,MetroBus,Special Service Routes,466-Kramer/Domain,07/31/2021,1,2019,10,4
383,7209,28164.13332,7209,6755.5333,25898.78325,6755.5333,2020,January,01-Jan,20200131,Jan-20,Saturday,MetroBus,Crosstown Routes,383-Research/Braker,07/31/2021,1,2020,4,2
492,0,0,0,0,0,0,2020,December,12-Dec,20201231,Dec-20,Saturday,MetroBus,Special Service Routes,492-Delwood,07/31/2021,1,2021,3,1
980,6365.3192,29732.66271,12761.58089,6867.5564,8954.7398,3793.1498,2019,February,02-Feb,20190228,Feb-2019,Weekday,MetroExpress,MetroExpress,980-North Mopac Express,07/31/2021,1,2019,5,2
987,0,0,0,0,0,0,2020,September,09-Sep,20200930,Sep-20,Sunday,MetroExpress,MetroExpress,987-Leander/Lakeline Express,07/31/2021,1,2020,12,4
19,15617.52158,35404.46091,35404.46091,36540.49034,36540.49034,16843.5714,2019,November,11-Nov,20191130,Nov-2019,Weekday,MetroBus,Local Routes,19-Bull Creek,07/31/2021,1,2020,2,1
335,9987.87825,138802.32758,20265.92712,30988.56574,158944.91236,15706.0321,2020,August,08-Aug,20200831,Aug-20,Weekday,MetroBus,Crosstown Routes,335-335 35th/38th,07/31/2021,1,2020,11,4
642,32657.1298,197828.99519,32657.1298,,,,2017,April,04-Apr,20170430,Apr-2017,Weekday,MetroBus,UT Shuttles,642-West Campus/UT,07/31/2021,1,2017,7,3
392,1564.5833,6194.91657,6194.91657,,,,2016,December,12-Dec,20161231,Dec-2016,Saturday,MetroBus,Crosstown Routes,392-Braker,07/31/2021,1,2017,3,1
4,1974,19306.70493,6945.99995,,,,2017,June,06-Jun,20170630,Jun-2017,Sunday,MetroBus,Local Routes,4-7th Street,07/31/2021,1,2017,9,3
142,502,14863.55999,1019.9999,5828.76272,21609.82223,2807.43122,2020,May,05-May,20200531,May-20,Weekday,MetroBus,Flyer Routes,142-Metric Flyer,07/31/2021,1,2020,8,3
550,1332.36363,53335.54686,12702.03027,18945.67267,63267.01516,7180.39995,2019,June,06-Jun,20190630,Jun-2019,Saturday,MetroRail,MetroRail,550-Metro Rail Red Line,07/31/2021,1,2019,9,3
100,0,0,0,0,0,0,2021,June,06-Jun,20210630,Jun-20,Saturday,MetroBus,Flyer Routes,100-MetroAirport,07/31/2021,1,2021,9,3
5,4351,7288,7288,8827,8827,5236,2017,November,11-Nov,20171130,Nov-2017,Sunday,MetroBus,Local Routes,5-Woodrow/Lamar,07/31/2021,1,2018,2,1
335,1558.33332,11816.3333,1558.33332,1312,15065.83319,1312,2021,April,04-Apr,20210430,Apr-20,Sunday,MetroBus,Crosstown Routes,335-335 35th/38th,07/31/2021,1,2021,7,3
337,0,0,0,,,,2016,November,11-Nov,20161130,Nov-2016,Weekday,MetroBus,Crosstown Routes,337-Koenig/Colony Park,07/31/2021,1,2017,2,1
311,5262,21612.47849,5262,2784.21792,10000.5679,2784.21792,2019,January,01-Jan,20190131,Jan-2019,Sunday,MetroBus,Crosstown Routes,311-Stassney,07/31/2021,1,2019,4,2
935,0,0,0,0,0,0,2018,July,07-Jul,20180731,Jul-2018,Sunday,MetroExpress,MetroExpress,935-Tech Ridge Express,07/31/2021,1,2018,10,4
322,0,0,0,0,0,0,2018,April,04-Apr,20180430,Apr-2018,Saturday,MetroBus,Crosstown Routes,322-Chicon/Cherrywood,07/31/2021,1,2018,7,3
237,2690.3813,13475.09436,6918.64091,,,,2017,March,03-Mar,20170331,Mar-2017,Weekday,MetroBus,Feeder Routes,237-Northeast Feeder,07/31/2021,1,2017,6,2
803,7493.33332,58586.94158,7493.33332,6267.5,102872.80821,6267.5,2021,April,04-Apr,20210430,Apr-20,Sunday,MetroRapid,MetroRapid,803-Burnet/S Lamar,07/31/2021,1,2021,7,3
970,0,0,0,0,0,0,2018,September,09-Sep,20180930,Sep-2018,Sunday,MetroExpress,MetroExpress,970-Lantana Express,07/31/2021,1,2018,12,4
331,0,41220.06658,0,10923.25,57999.34203,4893,2018,August,08-Aug,20180831,Aug-2018,Sunday,MetroBus,Crosstown Routes,331-Oltorf,07/31/2021,1,2018,11,4
656,42721.89254,334440.9109,62404.91793,58786.32449,356744.09745,43096.528,2018,September,09-Sep,20180930,Sep-2018,Weekday,MetroBus,UT Shuttles,656-Intramural Fields/UT,07/31/2021,1,2018,12,4
481,885,7470.23094,885,1893.24995,12657.33381,1893.24995,2018,April,04-Apr,20180430,Apr-2018,Saturday,MetroBus,Special Service Routes,481-Night Owl North Lamar,07/31/2021,1,2018,7,3
656,0,831.06006,371.12903,,,,2017,June,06-Jun,20170630,Jun-2017,Saturday,MetroBus,UT Shuttles,656-Intramural Fields/UT,07/31/2021,1,2017,9,3
